From,To,Amount,Method
Aaron,Yao (Mango),86.27,Pay user $86.27 on (Venmo: )
BANK,Frankie (FD),250.00,Pay user $250.00 on (Venmo: )
BANK,bj1527,380.00,Pay user $380.00 on (Venmo: )
BANK,drew,175.00,Pay user $175.00 on (Venmo: )
Csizzle (siz),BANK,9.49,Internal bank transfer of $9.49
Makkah (Lucky M),Canhk (martial),53.50,Pay user $53.50 on (Venmo: )
Makkah (Lucky M),catlib (Cat),3.50,Pay user $3.50 on (Venmo: )
Makkah (Lucky M),jh,43.00,Pay user $43.00 on (Venmo: )
annoyeduser (Annie),Jon (water),100.00,Pay user $100.00 on (Venmo: )
annoyeduser (Annie),magicmike,30.50,Pay user $30.50 on (Venmo: )
demet,Canhk (martial),2.50,Pay user $2.50 on (Venmo: )
demet,Jason_ParkingLot (JParkingLot),56.00,Pay user $56.00 on (Venmo: )
demet,magicmike,41.50,Pay user $41.50 on (Venmo: )
gene (john locke),Dougie,33.20,Pay user $33.20 on (Venmo: )
gene (john locke),catlib (Cat),11.50,Pay user $11.50 on (Venmo: )
gene (john locke),stevewithN (Swn),15.00,Pay user $15.00 on (Venmo: )
hideo kojima,br1ann88 (br1),129.50,Pay user $129.50 on (Venmo: )
hideo kojima,wifahat (Wifa),104.50,Pay user $104.50 on (Venmo: )
patrick (pat),BANK,133.77,Internal bank transfer of $133.77
ryo (Dink!),BANK,20.79,Internal bank transfer of $20.79
seanyao (sean),BANK,28.33,Internal bank transfer of $28.33
vik,BANK,3.97,Internal bank transfer of $3.97
