Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Currently Sending,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
magicmike,$100.00,Yes,,Good,$100,$176.13,$76.13,$76.13,$72.00,$4.13,No,5.42%,,$88.41,,3813,3780.56,,
br1ann88 (br1),$50.00,Yes,,Good,$50,$159.20,$109.20,$109.20,$104.00,$5.20,No,4.76%,,,People Leave ->,0,3813,total after bs,
demet ,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
Makkah (Lucky M),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,,,should be 0 at end:,-$32.44,"$1,524.03",1261.29,7.01%
funshunay,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
patrick (pat),$100.00,Yes,,Good,$100,$52.50,-$47.50,-$47.50,$0.00,$0.00,No,0.00%,,,,Credit Sum,Receive Sum,In-Game,
Dougie,$50.00,Yes,,Good,$50,$56.61,$6.61,$6.61,$5.00,$1.61,No,24.36%,,,,"$3,008",$805.00,$32.44,
isauah,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
bj1527 (yanited),$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,,Pokernow Link:,,,,,
jh,$100.00,Yes,,Good,$100,$145.93,$45.93,$45.93,$43.00,$2.93,No,6.38%,,,,,,,
ryo (Dink!),$93.00,Yes,,Good,$93,$72.21,-$20.79,-$20.79,$0.00,$0.00,No,0.00%,,,,,,,
bj1527,$200.00,No,$200.00,Good,$0,$395.59,$195.59,$395.59,$380.00,$15.59,No,7.97%,,WL:,https://www.pokernow.club/games/pglLKOberAqL2eG4rQO0RH6Wh,,,,
annoyeduser (Annie),$105.00,Yes,,Good,$105,$0.00,-$105.00,-$105.00,$0.00,$0.00,No,0.00%,,,,,,,
drew,$50.00,Yes,,Good,$50,$226.94,$176.94,$176.94,$166.00,$10.94,No,6.18%,,,,,,,
sharckk,$75.00,No,$75.00,Good,$0,$69.12,-$5.88,$69.12,$69.12,$0.00,No,0.00%,,,,,,,
Frankie (FD),$400.00,Yes,,Good,$400,$668.06,$268.06,$268.06,$250.00,$18.06,No,6.74%,,,,,,,
Yao (Mango),$100.00,Yes,,Good,$100,$104.58,$4.58,$4.58,$0.00,$4.58,Yes,100.00%,,,,,,,
barack obama (dan99),$150.00,No,$150.00,Good,$0,$0.00,-$150.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
MYL (rungood),$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
gene (john locke),$75.00,Yes,,Good,$75,$15.30,-$59.70,-$59.70,$0.00,$0.00,No,0.00%,,,,,,,
Csizzle (siz),$250.00,Yes,,Good,$250,$240.51,-$9.49,-$9.49,$0.00,$0.00,No,0.00%,,,,,,,
hideo kojima ,$225.00,Yes,,Good,$225,$0.00,-$225.00,-$225.00,$0.00,$0.00,No,0.00%,,,,,,,
Lax,$30.00,No,$30.00,Good,$0,$0.00,-$30.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
Aaron,$210.00,Yes,,Good,$210,$151.93,-$58.07,-$58.07,$0.00,$0.00,No,0.00%,,,,,,,
Jason_ParkingLot (JParkingLot),$50.00,Yes,,Good,$50,$111.15,$61.15,$61.15,$56.00,$5.15,No,8.42%,,,,,,,
wifahat (Wifa),$100.00,Yes,,Good,$100,$212.49,$112.49,$112.49,$104.50,$7.99,No,7.10%,,,,,,,
catlib (Cat),$50.00,Yes,,Good,$50,$66.91,$16.91,$16.91,$15.00,$1.91,No,11.30%,,,,,,,
Canhk (martial),$100.00,Yes,,Good,$100,$159.39,$59.39,$59.39,$56.00,$3.39,No,5.71%,,,,,,,
Acecillious,$300.00,Yes,,Good,$300,$306.38,$6.38,$6.38,$0.00,$0.00,Yes,0.00%,,,,,,,
Jon (water),$50.00,Yes,,Good,$50,$150.95,$100.95,$100.95,$100.00,$0.95,No,0.94%,,,,,,,
stevewithN (Swn),$50.00,Yes,,Good,$50,$70.98,$20.98,$20.98,$15.00,$5.98,No,28.50%,,,,,,,
ti84,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
vik,$150.00,Yes,,Good,$150,$146.03,-$3.97,-$3.97,$0.00,$0.00,No,0.00%,,,,,,,
seanyao (sean),$50.00,Yes,,Good,$50,$21.67,-$28.33,-$28.33,$0.00,$0.00,No,0.00%,,,,,,,
mo,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,No,0.00%,marked received but still owes me 50,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,
